Year,Total Population,Households (ENAHO),Surveyed Population (ENAHO),GDP %,"GDP, million PEN",PEN/USD exchange rate,Color TV - Imports,"Color TV - mmass, kg","Color TV - smass, kg",Color TV - 0 (%),Color TV - 1 (%),Color TV - 2 (%),Color TV - 3 (%),Color TV - Amount of household appliances ,Color TV - Total Stock of household appliances (Units),Color TV - Total Stock of household appliances (Metric Tons),Color TV - Average mass of household appliances (kg),Color TV - Mass of appliances per household (kg),Color TV - Imports (kg),Color TV - Stocks (kg),Color TV - Percentage of household appliance ownership
2003,27 103 457, 20 084, 58 936,"4,16", 245 593,3.478, 549 546,"21,233","30,914","68,10","30,83","0,99","0,09",4 160,1 913 099, 35 138,"18,367","5,731","21,230","18,367","31,90"
2004,27 460 073, 21 919, 91 861,"4,96", 257 770,3.412, 664 149,"21,190","9,559","59,83","32,09","5,95","2,12",9 940,2 971 371, 55 134,"18,555","8,414","21,224","18,555","40,17"
2005,27 810 540, 21 919, 92 787,"6,29", 273 971,3.295, 813 164,"22,613","10,274","71,76","27,25","0,89","0,10",5 849,1 753 089, 58 424,"18,770","8,893","22,617","18,770","28,24"
2006,28 151 443, 21 919, 96 234,"7,53", 294 598,3.273, 844 728,"22,730","11,190","55,45","34,58","7,37","2,60",11 930,3 489 897, 66 333,"19,007","10,345","22,719","19,007","44,55"
2007,28 481 901, 22 640, 95 469,"8,52", 319 693,3.127, 772 815,"22,043","10,726","46,83","40,65","9,26","3,25",15 599,4 653 753, 95 655,"20,554","14,162","22,059","20,554","53,18"
2008,28 807 034, 22 640, 94 547,"9,14", 348 923,2.924,1 168 448,"19,169","8,329","42,62","43,41","10,30","3,66",16 420,5 002 924, 103 547,"20,697","15,011","19,266","20,697","57,38"
2009,29 132 013, 22 640, 96 440,"1,05", 352 584,2.824, 865 904,"15,755","7,840","37,86","45,78","12,03","4,33",18 394,5 556 348, 111 847,"20,130","16,354","15,903","20,130","62,14"
2010,29 461 933, 22 640, 95 149,"8,45", 382 380,2.824,1 356 317,"13,529","7,044","34,99","47,10","13,14","4,77",19 283,5 970 787, 114 996,"19,260","16,404","13,658","19,260","65,01"
2011,29 797 694, 26 456, 105 840,"6,45", 407 052,2.753,1 596 631,"13,243","7,100","32,81","48,45","13,70","5,04",23 044,6 487 699, 118 834,"18,317","15,955","13,294","18,317","67,19"
2012,30 135 875, 26 456, 103 970,"5,95", 431 273,2.637,1 536 196,"12,144","13,280","30,90","48,51","14,56","6,03",24 625,7 137 597, 123 839,"17,350","16,149","12,187","17,350","69,1"
2013,30 475 144, 31 690, 124 038,"5,84", 456 449,2.701,1 624 690,"10,433","6,376","29,32","49,74","14,75","6,20",30 567,7 510 067, 123 855,"16,492","15,907","10,463","16,492","70,69"
2014,30 814 175, 31 690, 124 154,"2,39", 467 376,2.837,1 729 125,"10,125","7,050","28,95","49,35","15,23","6,47",31 413,7 796 492, 120 123,"15,407","15,273","10,127","15,407","71,05"
2015,31 151 643, 33 430, 127 474,"3,27", 482 676,3.182,1 380 080,"9,071","6,588","26,50","53,57","13,94","5,99",32 685,7 987 444, 116 804,"14,624","14,298","9,079","14,624","73,50"
2016,31 488 625, 38 296, 138 427,"4,04", 502 191,3.373,1 578 653,"9,645","6,322","25,70","50,81","16,62","6,87",38 309,8 714 324, 121 356,"13,926","13,931","9,645","13,926","74,30"
2017,31 826 018, 36 996, 132 657,"2,47", 514 654,3.258,1 517 939,"10,879","8,358","27,20","50,27","15,63","6,90",36 125,8 666 824, 115 861,"13,368","13,054","10,887","13,368","72,80"
2018,32 162 184, 39 820, 139 657,"3,99", 535 255,3.285,1 863 271,"11,136","7,750","28,28","50,68","14,73","6,30",37 980,8 746 570, 114 454,"13,086","12,481","11,094","13,086","71,72"
2019,32 495 510, 36 994, 128 276,"2,20", 546 731,3.335,1 674 567,"11,332","13,677","27,28","51,23","15,21","6,28",35 719,9 048 514, 115 660,"12,782","12,342","11,332","12,782","85,40"
